 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ireland,100207610429.9,109346669229.7,128596035288.4,164670771259.6,194372115041.1,211876989655.9,232180617162.3,270079279419.5,275447471451.1,236443117248.5,221985621537.5,241337364609.7,227270922957.3,243301556085.0,266787238499.0,302391428540.0
Isle of Man,1601050083.2,1668684324.2,1891002697.8,2252620408.2,2802206151.6,3032411026.9,3422733202.5,4466350655.9,5928791505.4,5486921247.1,5920369789.5,6565667052.8,6690228371.7,7001175622.7,7708454412.3,7084800892.2
Israel,136225025139.2,134620909004.4,125055466461.2,131314894271.1,139899274431.1,147103301914.1,158722866825.3,184068518293.1,220552442865.1,212453641380.4,238912622309.6,267406179630.4,262917911696.9,297634145181.9,314090281098.7,302722655203.5
Italy,1149661363439.4,1172041488805.9,1281746271196.0,1582930016538.8,1812808753294.8,1864982261286.9,1958563654385.6,2222524108127.7,2417508414187.2,2209484319012.7,2144936254535.0,2306974020278.2,2097929495121.7,2153225581941.5,2173255507985.8,1845428048839.1
Jamaica,9005064474.9,9194727831.1,9719009494.8,9430234810.8,10174664853.9,11243865777.7,11930179089.9,12799600047.2,13709401520.0,12120458114.8,13220549908.2,14444661522.1,14807086555.5,14264205152.6,13899217721.7,14188936958.4
Japan,4968359075956.6,4374711694090.9,4182846045873.6,4519561645253.5,4893116005656.6,4831467035389.8,4601663122649.9,4579750920354.8,5106679115127.3,5289493117993.9,5759071769013.1,6233147172341.4,6272362996105.0,5212328181166.2,4896994405353.3,4444930651964.2
Jordan,8460789844.9,8975814652.8,9582510578.3,10195627644.6,11411706629.1,12588998589.6,15056981664.3,17110437235.5,22658715989.3,24537876056.3,27133804225.4,29524149154.9,31634561690.1,34454440140.8,36847643521.1,38587017887.3
Kazakhstan,18291990662.0,22152689179.9,24636598527.4,30833692900.1,43151647002.6,57123671733.9,81003864630.0,104849915058.4,133441648852.0,115308686941.4,148047348240.6,192626464617.1,207998568865.8,236634603409.1,221415613595.5,184388404706.0
Kenya,12705350097.8,12986007425.9,13147736898.5,14904517649.8,16095337093.8,18737895512.7,25825512284.3,31958195182.2,35895153327.8,42347217912.9,45405615063.8,46869473150.6,56396704671.6,61671440407.8,68285796514.3,70120446896.8
Kiribati,74910555.3,64935847.5,74743892.2,96105634.7,104085862.4,113895467.7,112338362.5,138054961.9,147017897.7,140177363.7,165458478.2,195970104.4,207001557.8,201730847.8,200287275.6,191559398.2
Korea Dem. People's Rep.,,,,,,,,,,,,,,,,
Korea Rep.,576179387819.6,547656279894.6,627246933729.6,702714855193.9,793175561887.0,934901071333.0,1053216909887.6,1172614086539.9,1047339010225.3,943941876218.7,1143672241149.7,1253289537500.8,1278046536287.0,1370632955321.2,1484488526271.8,1466038936206.4
Kosovo,,,,,,,,,5181776768.7,5015894693.0,5343950556.1,6341613610.0,6163484244.6,6735328609.7,7074394734.9,6295848422.7
Kuwait,37718743480.1,34889559869.8,38135788413.8,47874582231.6,59439090600.6,80798630137.0,101557330723.4,114634043361.7,147379737229.8,105968691905.4,115416305425.4,154039231299.1,174047662555.4,174168116687.2,162650450784.7,114585555830.9
Kyrgyz Republic,1369688498.1,1525116370.3,1605643104.7,1919008090.5,2211534585.0,2460246766.4,2834168889.4,3802570552.6,5139958909.2,4690061380.6,4794361863.0,6197765984.3,6605142884.4,7335033800.6,7468102412.7,6678177511.7
Lao PDR,1731198022.5,1768619058.3,1758176653.1,2023324407.3,2366398119.9,2735558734.7,3455030061.0,4223152739.0,5446433157.4,5836137329.6,7131771014.7,8750104617.2,10192846339.4,11983252626.5,13279245886.4,14426380125.6
Latvia,7761252607.2,8190888739.6,9249030241.0,11244337719.8,13827070378.6,16306935905.4,20434922247.3,29420499247.7,34135200994.0,25691530442.0,23468324572.3,26575547900.8,27116149948.7,29152128167.8,30277203767.4,26344565876.9
Lebanon,17260364842.5,17649751243.8,19152238806.0,20082918739.6,21159827992.0,21497336498.8,22022709851.4,24827355014.9,29118916105.5,35399582928.7,38443907042.1,39927125961.5,44016799515.8,46880103080.6,48095213746.6,49929337836.8
Lesotho,887291687.9,825706961.2,775777238.6,1157825434.8,1511236655.5,1682343527.5,1800092563.8,1682131784.5,1766902709.2,1740894964.8,2234754241.9,2579409620.0,2477702216.3,2367112931.6,2441063054.1,2359686724.5
Liberia,874000000.0,906000000.0,927000000.0,748000000.0,897000000.0,949000000.0,1119000000.0,1373000000.0,1726000000.0,1768000000.0,1998000000.0,2398000000.0,2791614000.0,3177198100.0,3225652000.0,3227075700.0
Libya,38270954138.1,34112093927.3,20481889763.8,26265625000.0,33122307692.3,47334691241.5,60094231606.6,68032978390.6,86710767415.1,60808562033.4,75380825062.4,48169263294.1,92540938129.1,75351107029.1,57372355592.0,48717501321.3
Liechtenstein,2483889858.3,2491800558.8,2688618747.4,3070803051.4,3454373797.7,3659319116.9,4000102086.1,4601429897.2,5081479840.1,4504375348.1,5082337238.4,5739706004.9,5456102482.3,6391708310.7,6657526979.7,6268515276.2
Lithuania,11550695727.2,12260761329.3,14282292664.6,18809197969.5,22743164431.2,26105207115.3,30116192746.9,39729151614.7,47831254207.5,37494380038.9,36638128534.1,43186501862.8,42709372066.9,46303660422.0,48306546656.9,41540954817.2
Luxembourg,21230182989.3,21387533703.2,23649833332.2,29667268248.1,35064843792.9,37672280120.5,42910146296.1,51587401415.8,58844277701.5,54467289897.6,56213985987.4,61696281326.2,59776383527.4,65203276467.0,68804811897.6,60071584216.1
Macao SAR China,6774193548.4,6860272608.5,7371692774.4,8246479565.9,10643253553.2,12160056122.4,14874098691.9,18439981612.4,21027018332.7,21587786905.8,28241798491.6,36845888757.2,43189721377.0,51536595089.3,54902831793.5,45048190598.3
North Macedonia,3772859034.2,3709636030.7,4018365747.0,4946296599.1,5682784471.7,6258602872.7,6861226971.6,8336474973.7,9909552434.5,9401736825.4,9407170321.4,10494626767.6,9745261300.6,10817702346.1,11362265252.8,10064519962.6
Madagascar,4629247203.8,5438332601.9,5351701663.4,6372498889.7,5064732626.3,5859269752.6,6395712490.9,8524620889.6,10725137723.7,9616879409.4,9982711338.1,11551819617.9,11578975061.9,12423555455.4,12522957399.2,11323020701.3
Malawi,2537307580.3,2498008664.7,5087328437.9,4669789300.4,5058726350.5,5320409651.5,5818279739.1,6451210219.1,7743617352.2,9009887946.8,10128323010.6,11648142958.4,8773203178.2,8031571927.6,8801326169.1,9219474379.3
